Year,Field,Rank,Individual
2013,London - Tax - Indirect Tax,Juniors - 1,Aparna Nathan
2013,London - Tax - Indirect Tax,Juniors - 1,Christopher Whitehouse
2013,London - Tax - Indirect Tax,Juniors - 2,Patrick Soares
2013,London - Tax - Indirect Tax,Juniors - 2,Richard Vallat
2013,London - Tax - Indirect Tax,Juniors - 2,Elizabeth Wilson
2013,London - Tax - Indirect Tax,Juniors - 3,Amanda Hardy
2013,London - Tax - Indirect Tax,Juniors - 3,James Rivett
2013,London - Tax - Indirect Tax,Juniors - 3,Leon Sartin
2013,London - Tax - Indirect Tax,Juniors - Up-and-coming,Imran Afzal
2013,London - Tax - Indirect Tax,Juniors - Up-and-coming,Marika Lemos
2013,London - Tax - Indirect Tax,Juniors - Up-and-coming,Laura Poots
2013,London - Tax - Indirect Tax,Silks - 1,James Kessler
2013,London - Tax - Indirect Tax,Silks - 1,William Massey
2013,London - Tax - Indirect Tax,Silks - 1,Christopher McCall
2013,London - Tax - Indirect Tax,Silks - 1,Kevin Prosser
2013,London - Tax - Indirect Tax,Silks - 2,Stephen Brandon
2013,London - Tax - Indirect Tax,Silks - 2,David Ewart
2013,London - Tax - Indirect Tax,Silks - 2,Michael Flesch
2013,London - Tax - Indirect Tax,Silks - 2,Julian Ghosh
